Ref,Val,Package,PosX,PosY,Rot,Side
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",0.000000,-14.000000,180.000000,top
"U1","CherryMX_LTST-A683CEGBW-Rotated","Kailh_socket_PG1350_sk6812mini_e",-95.042000,-20.910600,350.000000,top
"U2","CherryMX_LTST-A683CEGBW-Rotated","Kailh_socket_PG1350_sk6812mini_e",-76.794600,-21.081900,350.000000,top
"U3","CherryMX_LTST-A683CEGBW-Rotated","Kailh_socket_PG1350_sk6812mini_e",-58.199800,-19.283500,350.000000,top
"U4","CherryMX_LTST-A683CEGBW-Rotated","Kailh_socket_PG1350_sk6812mini_e",-41.515000,-28.318000,350.000000,top
"U5","CherryMX_LTST-A683CEGBW-Rotated","Kailh_socket_PG1350_sk6812mini_e",-24.483000,-35.382900,350.000000,top
"U6","CherryMX_LTST-A683CEGBW-Rotated","Kailh_socket_PG1350_sk6812mini_e",-12.313000,-70.022000,350.000000,top
"U7","CherryMX_LTST-A683CEGBW-Rotated","Kailh_socket_PG1350_sk6812mini_e",24.483000,-35.382900,10.000000,top
"U8","CherryMX_LTST-A683CEGBW-Rotated","Kailh_socket_PG1350_sk6812mini_e",41.515000,-28.318000,10.000000,top
"U9","CherryMX_LTST-A683CEGBW-Rotated","Kailh_socket_PG1350_sk6812mini_e",58.200000,-19.283500,10.000000,top
"U10","CherryMX_LTST-A683CEGBW-Rotated","Kailh_socket_PG1350_sk6812mini_e",76.795000,-21.081900,10.000000,top
"U11","CherryMX_LTST-A683CEGBW-Rotated","Kailh_socket_PG1350_sk6812mini_e",95.042000,-20.910600,10.000000,top
"U12","CherryMX_LTST-A683CEGBW-Rotated","Kailh_socket_PG1350_sk6812mini_e",-97.994100,-37.652400,350.000000,top
"U13","CherryMX_LTST-A683CEGBW-Rotated","Kailh_socket_PG1350_sk6812mini_e",-79.746600,-37.823600,350.000000,top
"U14","CherryMX_LTST-A683CEGBW-Rotated","Kailh_socket_PG1350_sk6812mini_e",-61.151800,-36.025300,350.000000,top
"U15","CherryMX_LTST-A683CEGBW-Rotated","Kailh_socket_PG1350_sk6812mini_e",-44.467000,-45.059800,350.000000,top
